# Forces     
# CofR       : (5.000000e-01 0.000000e+00 0.000000e+00)
# Time       forces(pressure viscous porous)	moments(pressure viscous porous)
60           	((-3.933429e-06 2.571070e-05 7.917253e-27) (5.120381e-05 4.976251e-07 -2.453939e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.856606e-06 -5.900144e-07 -7.036682e-06) (-7.464376e-08 7.680571e-06 -2.671258e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
61           	((-3.950033e-06 2.575852e-05 8.592130e-27) (5.050359e-05 4.941852e-07 -2.470123e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.863778e-06 -5.925049e-07 -7.052001e-06) (-7.412778e-08 7.575539e-06 -2.636342e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
62           	((-3.984384e-06 2.583438e-05 6.841573e-27) (4.982179e-05 4.914195e-07 -2.487268e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.875157e-06 -5.976577e-07 -7.068974e-06) (-7.371292e-08 7.473269e-06 -2.602343e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
63           	((-4.028243e-06 2.609557e-05 6.510835e-27) (4.915767e-05 4.893215e-07 -2.506812e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.914335e-06 -6.042365e-07 -7.080749e-06) (-7.339822e-08 7.373651e-06 -2.569195e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
64           	((-4.042435e-06 2.618568e-05 5.586223e-27) (4.851048e-05 4.874870e-07 -2.501033e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.927851e-06 -6.063652e-07 -7.084459e-06) (-7.312305e-08 7.276572e-06 -2.536878e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
65           	((-4.050959e-06 2.628774e-05 6.377029e-27) (4.787946e-05 4.854640e-07 -2.488337e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.943161e-06 -6.076438e-07 -7.087069e-06) (-7.281960e-08 7.181919e-06 -2.505426e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
66           	((-4.074799e-06 2.647472e-05 9.538151e-27) (4.726391e-05 4.831879e-07 -2.477447e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.971208e-06 -6.112199e-07 -7.091355e-06) (-7.247818e-08 7.089586e-06 -2.474835e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
67           	((-4.087419e-06 2.652056e-05 1.113448e-26) (4.666324e-05 4.808534e-07 -2.479753e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.978085e-06 -6.131129e-07 -7.098387e-06) (-7.212801e-08 6.999486e-06 -2.445057e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
68           	((-4.110268e-06 2.659149e-05 1.269444e-26) (4.607698e-05 4.788258e-07 -2.495757e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.988723e-06 -6.165401e-07 -7.109235e-06) (-7.182388e-08 6.911547e-06 -2.416009e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
69           	((-4.141733e-06 2.682177e-05 1.549307e-26) (4.550460e-05 4.772134e-07 -2.530636e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-4.023266e-06 -6.212599e-07 -7.121065e-06) (-7.158200e-08 6.825690e-06 -2.387636e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
70           	((-4.156071e-06 2.691580e-05 1.529518e-26) (4.494561e-05 4.758962e-07 -2.537250e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-4.037371e-06 -6.234107e-07 -7.127857e-06) (-7.138444e-08 6.741842e-06 -2.359907e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
71           	((-4.173588e-06 2.710783e-05 1.561115e-26) (4.439947e-05 4.745957e-07 -2.535307e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-4.066174e-06 -6.260382e-07 -7.136711e-06) (-7.118936e-08 6.659921e-06 -2.332848e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
72           	((-4.187529e-06 2.724489e-05 1.610819e-26) (4.386569e-05 4.731943e-07 -2.524150e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-4.086734e-06 -6.281294e-07 -7.143385e-06) (-7.097915e-08 6.579853e-06 -2.306459e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
73           	((-4.197178e-06 2.726685e-05 1.619063e-26) (4.334382e-05 4.717768e-07 -2.519517e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-4.090027e-06 -6.295767e-07 -7.148827e-06) (-7.076652e-08 6.501574e-06 -2.280711e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
74           	((-4.217793e-06 2.731038e-05 1.713447e-26) (4.283349e-05 4.705233e-07 -2.523129e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-4.096558e-06 -6.326690e-07 -7.158272e-06) (-7.057849e-08 6.425024e-06 -2.255562e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
75           	((-4.255553e-06 2.748363e-05 1.994183e-26) (4.233428e-05 4.695071e-07 -2.543348e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-4.122544e-06 -6.383330e-07 -7.170072e-06) (-7.042607e-08 6.350142e-06 -2.230980e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
76           	((-4.276966e-06 2.767410e-05 2.278864e-26) (4.184582e-05 4.686815e-07 -2.562753e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-4.151115e-06 -6.415449e-07 -7.177105e-06) (-7.030222e-08 6.276872e-06 -2.206938e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
77           	((-4.283301e-06 2.775474e-05 2.329638e-26) (4.136776e-05 4.679102e-07 -2.567449e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-4.163211e-06 -6.424952e-07 -7.181122e-06) (-7.018653e-08 6.205165e-06 -2.183431e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
78           	((-4.293916e-06 2.791230e-05 2.397484e-26) (4.089977e-05 4.671364e-07 -2.570337e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-4.186844e-06 -6.440874e-07 -7.187854e-06) (-7.007046e-08 6.134965e-06 -2.160460e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
79           	((-4.311932e-06 2.803143e-05 2.407787e-26) (4.044147e-05 4.663830e-07 -2.570160e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-4.204714e-06 -6.467898e-07 -7.197113e-06) (-6.995746e-08 6.066220e-06 -2.138011e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
80           	((-4.332731e-06 2.811359e-05 2.424468e-26) (3.999255e-05 4.657345e-07 -2.570279e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-4.217038e-06 -6.499096e-07 -7.207063e-06) (-6.986017e-08 5.998883e-06 -2.116055e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
81           	((-4.353509e-06 2.819371e-05 2.506525e-26) (3.955272e-05 4.652369e-07 -2.573766e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-4.229056e-06 -6.530263e-07 -7.216146e-06) (-6.978553e-08 5.932908e-06 -2.094564e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
82           	((-4.373251e-06 2.830077e-05 2.662688e-26) (3.912170e-05 4.648734e-07 -2.581982e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-4.245115e-06 -6.559876e-07 -7.223910e-06) (-6.973101e-08 5.868256e-06 -2.073520e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
83           	((-4.390944e-06 2.843575e-05 2.853485e-26) (3.869922e-05 4.645937e-07 -2.593145e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-4.265362e-06 -6.586416e-07 -7.231014e-06) (-6.968906e-08 5.804883e-06 -2.052914e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
